country_code,year,gdp_per_capita,inflation,unemployment,gdp_lag_1,inflation_lag_1,unemployment_lag_1,gdp_lag_2,inflation_lag_2,unemployment_lag_2,gdp_lag_3,inflation_lag_3,unemployment_lag_3,gdp_rolling3,inflation_rolling3,unemployment_rolling3,gdp_growth,recession
IDN,2019,4106.94856160358,3.03058460941661,3.59,3860.95353090726,3.19834755924996,4.387,3798.88326174526,3.80879857691949,3.783,3521.46943457574,3.52580452815451,4.301,3922.2617847520337,3.345910248528687,3.92,6.371354348792568,0
IDN,2020,3853.70288774146,1.91983527270793,4.255,4106.94856160358,3.03058460941661,3.59,3860.95353090726,3.19834755924996,4.387,3798.88326174526,3.80879857691949,3.783,3940.5349934174333,2.7162558137915,4.077333333333333,-6.166273330758221,1
IDN,2021,4287.17313995098,1.56007882983334,3.827,3853.70288774146,1.91983527270793,4.255,4106.94856160358,3.03058460941661,3.59,3860.95353090726,3.19834755924996,4.387,4082.608196432007,2.170166237319293,3.8906666666666667,11.248149243377803,0
IDN,2022,4730.83484836107,4.20946463714784,3.462,4287.17313995098,1.56007882983334,3.827,3853.70288774146,1.91983527270793,4.255,4106.94856160358,3.03058460941661,3.59,4290.570292017836,2.5631262465630367,3.8480000000000003,10.34858387863391,0
IDN,2023,4876.30774512252,3.66938654859761,3.308,4730.83484836107,4.20946463714784,3.462,4287.17313995098,1.56007882983334,3.827,3853.70288774146,1.91983527270793,4.255,4631.438577811524,3.14631000519293,3.5323333333333333,3.0749941907578293,0
IDN,2024,4925.43048751861,2.18151273615189,3.301,4876.30774512252,3.66938654859761,3.308,4730.83484836107,4.20946463714784,3.462,4287.17313995098,1.56007882983334,3.827,4844.191027000733,3.3534546406324464,3.3569999999999998,1.0073757638701997,0
IND,2010,1347.51939071367,11.9893899204244,7.631,,,,,,,,,,1347.51939071367,11.9893899204244,7.631,,0
IND,2011,1445.46127486037,8.91179336483371,7.609,1347.51939071367,11.9893899204244,7.631,,,,,,,1396.49033278702,10.450591642629055,7.62,7.268309815922436,0
IND,2012,1429.32199520032,9.47899691419801,7.645,1445.46127486037,8.91179336483371,7.609,1347.51939071367,11.9893899204244,7.631,,,,1407.43422025812,10.12672673315204,7.628333333333333,-1.1165487405817132,1
IND,2013,1432.84397512195,10.0178784746102,7.678,1429.32199520032,9.47899691419801,7.645,1445.46127486037,8.91179336483371,7.609,1347.51939071367,11.9893899204244,7.631,1435.8757483942134,9.469556251213973,7.643999999999999,0.2464091319840378,0
IND,2014,1553.88396075118,6.66565671867899,7.656,1432.84397512195,10.0178784746102,7.678,1429.32199520032,9.47899691419801,7.645,1445.46127486037,8.91179336483371,7.609,1472.0166436911502,8.720844035829067,7.659666666666666,8.44753425570486,0
IND,2015,1583.99815907985,4.90697344127256,7.629,1553.88396075118,6.66565671867899,7.656,1432.84397512195,10.0178784746102,7.678,1429.32199520032,9.47899691419801,7.645,1523.5753649843266,7.1968362115205835,7.654333333333334,1.9379953129905703,0
IND,2016,1707.50892912243,4.94821634062141,7.611,1583.99815907985,4.90697344127256,7.629,1553.88396075118,6.66565671867899,7.656,1432.84397512195,10.0178784746102,7.678,1615.130349651153,5.506948833524319,7.631999999999999,7.7974061607702705,0
IND,2017,1950.10468280866,3.32817337461298,7.626,1707.50892912243,4.94821634062141,7.611,1583.99815907985,4.90697344127256,7.629,1553.88396075118,6.66565671867899,7.656,1747.203923670313,4.394454385502317,7.622,14.207583313248717,0
IND,2018,1966.25455171679,3.9388264669163,7.652,1950.10468280866,3.32817337461298,7.626,1707.50892912243,4.94821634062141,7.611,1583.99815907985,4.90697344127256,7.629,1874.62272121596,4.071738727383564,7.629666666666666,0.8281539473496302,0
IND,2019,2041.42863698585,3.72950573539129,6.51,1966.25455171679,3.9388264669163,7.652,1950.10468280866,3.32817337461298,7.626,1707.50892912243,4.94821634062141,7.611,1985.9292905037667,3.665501858973523,7.262666666666667,3.823212269409537,0
IND,2020,1907.04251637669,6.62343677628535,7.859,2041.42863698585,3.72950573539129,6.51,1966.25455171679,3.9388264669163,7.652,1950.10468280866,3.32817337461298,7.626,1971.5752350264436,4.763922992864313,7.340333333333334,-6.582944814939995,1
IND,2021,2239.61384367482,5.13140747176369,6.38,1907.04251637669,6.62343677628535,7.859,2041.42863698585,3.72950573539129,6.51,1966.25455171679,3.9388264669163,7.652,2062.6949990124535,5.161449994480109,6.916333333333333,17.439114463478433,0
IND,2022,2347.44829434623,6.69903414079852,4.822,2239.61384367482,5.13140747176369,6.38,1907.04251637669,6.62343677628535,7.859,2041.42863698585,3.72950573539129,6.51,2164.7015514659133,6.15129279628252,6.353666666666666,4.814868017357488,0
IND,2023,2530.12031278204,5.64914318907925,4.172,2347.44829434623,6.69903414079852,4.822,2239.61384367482,5.13140747176369,6.38,1907.04251637669,6.62343677628535,7.859,2372.3941502676967,5.82652826721382,5.124666666666666,7.781727029974239,0
IND,2024,2694.73780859961,4.95303550973656,4.173,2530.12031278204,5.64914318907925,4.172,2347.44829434623,6.69903414079852,4.822,2239.61384367482,5.13140747176369,6.38,2524.10213857596,5.76707094653811,4.389,6.50631098394534,0
ITA,2010,35856.8625485539,1.52551602118248,8.363,,,,,,,,,,35856.8625485539,1.52551602118248,8.363,,0
ITA,2011,38432.3742820019,2.78063272879323,8.359,35856.8625485539,1.52551602118248,8.363,,,,,,,37144.6184152779,2.153074374987855,8.361,7.1827581957581765,0
ITA,2012,34854.3949441965,3.04136333226775,10.655,38432.3742820019,2.78063272879323,8.359,35856.8625485539,1.52551602118248,8.363,,,,36381.2105915841,2.4491706940811535,9.125666666666666,-9.309805612194477,1
ITA,2013,35701.6746002376,1.21999342274306,12.149,34854.3949441965,3.04136333226775,10.655,38432.3742820019,2.78063272879323,8.359,35856.8625485539,1.52551602118248,8.363,36329.48127547867,2.3473298279346797,10.387666666666666,2.4309119621718667,1
ITA,2014,36028.3494022349,0.241047429826756,12.683,35701.6746002376,1.21999342274306,12.149,34854.3949441965,3.04136333226775,10.655,38432.3742820019,2.78063272879323,8.359,35528.139648889664,1.5008013949458554,11.828999999999999,0.9150125467647374,1
ITA,2015,30639.8829751432,0.0387903996579733,11.896,36028.3494022349,0.241047429826756,12.683,35701.6746002376,1.21999342274306,12.149,34854.3949441965,3.04136333226775,10.655,34123.3023258719,0.4999437507425964,12.242666666666667,-14.956184550484686,1
ITA,2016,31391.5692898108,-0.09401665691575,11.688,30639.8829751432,0.0387903996579733,11.896,36028.3494022349,0.241047429826756,12.683,35701.6746002376,1.21999342274306,12.149,32686.60055572963,0.06194039085632644,12.088999999999999,2.4532936867853294,1
ITA,2017,32844.115660604,1.22653316645812,11.211,31391.5692898108,-0.09401665691575,11.688,30639.8829751432,0.0387903996579733,11.896,36028.3494022349,0.241047429826756,12.683,31625.189308519333,0.39043563640011447,11.598333333333334,4.627186227560398,1
ITA,2018,34904.1081923834,1.13748763600391,10.538,32844.115660604,1.22653316645812,11.211,31391.5692898108,-0.09401665691575,11.688,30639.8829751432,0.0387903996579733,11.896,33046.59771426607,0.7566680485154267,11.145666666666665,6.272029221509312,1
ITA,2019,33812.788724868,0.611246943765304,9.884,34904.1081923834,1.13748763600391,10.538,32844.115660604,1.22653316645812,11.211,31391.5692898108,-0.09401665691575,11.688,33853.670859285136,0.9917559154091115,10.544333333333334,-3.126621833453813,1
ITA,2020,32091.4866621366,-0.13770757391651,9.192,33812.788724868,0.611246943765304,9.884,34904.1081923834,1.13748763600391,10.538,32844.115660604,1.22653316645812,11.211,33602.79452646267,0.5370090019509013,9.871333333333334,-5.090683518409245,1
ITA,2021,36852.5425414951,1.87378325762481,9.497,32091.4866621366,-0.13770757391651,9.192,33812.788724868,0.611246943765304,9.884,34904.1081923834,1.13748763600391,10.538,34252.27264283324,0.7824408758245346,9.524333333333333,14.835884449615943,0
ITA,2022,35653.9042103495,8.20128991161718,8.069,36852.5425414951,1.87378325762481,9.497,32091.4866621366,-0.13770757391651,9.192,33812.788724868,0.611246943765304,9.884,34865.9778046604,3.3124551984418265,8.919333333333332,-3.2525254663120284,1
ITA,2023,39277.0838783918,5.62219442195901,7.627,35653.9042103495,8.20128991161718,8.069,36852.5425414951,1.87378325762481,9.497,32091.4866621366,-0.13770757391651,9.192,37261.17687674547,5.232422530400333,8.397666666666668,10.162083924011256,0
ITA,2024,40385.3413957669,0.982373023061417,6.5,39277.0838783918,5.62219442195901,7.627,35653.9042103495,8.20128991161718,8.069,36852.5425414951,1.87378325762481,9.497,38438.77649483607,4.935285785545869,7.398666666666667,2.82163900152681,0
JPN,2010,44968.1562349739,-0.728243207517779,5.102,,,,,,,,,,44968.1562349739,-0.728243207517779,5.102,,0
JPN,2011,48760.0789494211,-0.27245561610124,4.55,44968.1562349739,-0.728243207517779,5.102,,,,,,,46864.1175921975,-0.5003494118095095,4.8260000000000005,8.432462061893563,0
JPN,2012,49145.2804308193,-0.0440645104432602,4.358,48760.0789494211,-0.27245561610124,4.55,44968.1562349739,-0.728243207517779,5.102,,,,47624.50520507144,-0.34825444468742645,4.67,0.789993555584223,0
JPN,2013,40898.6478964744,0.335037912184741,4.038,49145.2804308193,-0.0440645104432602,4.358,48760.0789494211,-0.27245561610124,4.55,44968.1562349739,-0.728243207517779,5.102,46268.002425571605,0.006172595213413605,4.315333333333333,-16.780110851037865,1
JPN,2014,38475.3952461838,2.75922671353253,3.589,40898.6478964744,0.335037912184741,4.038,49145.2804308193,-0.0440645104432602,4.358,48760.0789494211,-0.27245561610124,4.55,42839.7745244925,1.0167333717580036,3.9950000000000006,-5.925018979660446,1
JPN,2015,34960.6393843385,0.795279630579839,3.385,38475.3952461838,2.75922671353253,3.589,40898.6478964744,0.335037912184741,4.038,49145.2804308193,-0.0440645104432602,4.358,38111.560842332234,1.2965147520990365,3.670666666666667,-9.13507408918407,1
JPN,2016,39375.4731620781,-0.127258844489754,3.132,34960.6393843385,0.795279630579839,3.385,38475.3952461838,2.75922671353253,3.589,40898.6478964744,0.335037912184741,4.038,37603.8359308668,1.1424158332075383,3.3686666666666665,12.62801211729936,0
JPN,2017,38834.0529341227,0.484199796126385,2.822,39375.4731620781,-0.127258844489754,3.132,34960.6393843385,0.795279630579839,3.385,38475.3952461838,2.75922671353253,3.589,37723.38849351311,0.38407352740549,3.1129999999999995,-1.375018976221054,1
JPN,2018,39751.1330982711,0.989094598021848,2.467,38834.0529341227,0.484199796126385,2.822,39375.4731620781,-0.127258844489754,3.132,34960.6393843385,0.795279630579839,3.385,39320.21973149063,0.44867851655282626,2.807,2.3615360614152703,0
JPN,2019,40415.9567649547,0.46877615938395,2.351,39751.1330982711,0.989094598021848,2.467,38834.0529341227,0.484199796126385,2.822,39375.4731620781,-0.127258844489754,3.132,39667.047599116166,0.6473568511773943,2.546666666666667,1.6724646943775179,0
JPN,2020,40028.7341726762,-0.024995834027731,2.809,40415.9567649547,0.46877615938395,2.351,39751.1330982711,0.989094598021848,2.467,38834.0529341227,0.484199796126385,2.822,40065.274678634,0.47762497445935564,2.5423333333333336,-0.9580933454834573,1
JPN,2021,40094.5599795288,-0.233352779398264,2.808,40028.7341726762,-0.024995834027731,2.809,40415.9567649547,0.46877615938395,2.351,39751.1330982711,0.989094598021848,2.467,40179.7503057199,0.07014251531931834,2.656,0.164446386359951,0
JPN,2022,34065.6438962526,2.49770278172255,2.614,40094.5599795288,-0.233352779398264,2.808,40028.7341726762,-0.024995834027731,2.809,40415.9567649547,0.46877615938395,2.351,38062.97934948587,0.746451389432185,2.7436666666666665,-15.036743354595739,1
JPN,2023,33836.1756271617,3.26813365933163,2.6,34065.6438962526,2.49770278172255,2.614,40094.5599795288,-0.233352779398264,2.808,40028.7341726762,-0.024995834027731,2.809,35998.7931676477,1.844161220551972,2.6739999999999995,-0.6736061405143268,1
JPN,2024,32487.0778047567,2.73853681635241,2.5,33836.1756271617,3.26813365933163,2.6,34065.6438962526,2.49770278172255,2.614,40094.5599795288,-0.233352779398264,2.808,33462.965776057004,2.8347910858021965,2.571333333333333,-3.987146293572319,1
KOR,2010,24071.2620526362,2.93928652655686,3.324,,,,,,,,,,24071.2620526362,2.93928652655686,3.324,,0
KOR,2011,26175.2398553363,4.0259650043609,2.992,24071.2620526362,2.93928652655686,3.324,,,,,,,25123.25095398625,3.48262576545888,3.158,8.740621069636333,0
KOR,2012,26600.5477433903,2.18707104433314,2.812,26175.2398553363,4.0259650043609,2.992,24071.2620526362,2.93928652655686,3.324,,,,25615.683217120935,3.0507741917502997,3.042666666666667,1.6248481022698158,0
KOR,2013,28449.3591104972,1.30134754547413,3.067,26600.5477433903,2.18707104433314,2.812,26175.2398553363,4.0259650043609,2.992,24071.2620526362,2.93928652655686,3.324,27075.0489030746,2.5047945313893902,2.9570000000000003,6.950275554255425,0
KOR,2014,30667.0912467447,1.27477446401322,3.082,28449.3591104972,1.30134754547413,3.067,26600.5477433903,2.18707104433314,2.812,26175.2398553363,4.0259650043609,2.992,28572.33270021073,1.5877310179401631,2.987,7.795367648296891,0
KOR,2015,30171.7906545222,0.70633177245575,3.546,30667.0912467447,1.27477446401322,3.082,28449.3591104972,1.30134754547413,3.067,26600.5477433903,2.18707104433314,2.812,29762.747003921366,1.0941512606477,3.231666666666667,-1.6150882659113575,1
KOR,2016,30832.0628072516,0.971685739912168,3.65,30171.7906545222,0.70633177245575,3.546,30667.0912467447,1.27477446401322,3.082,28449.3591104972,1.30134754547413,3.067,30556.981569506166,0.9842639921270461,3.426,2.188375758965555,0
KOR,2017,33296.9845439195,1.94433230786366,3.653,30832.0628072516,0.971685739912168,3.65,30171.7906545222,0.70633177245575,3.546,30667.0912467447,1.27477446401322,3.082,31433.612668564438,1.2074499400771928,3.6163333333333334,7.994670197960785,0
KOR,2018,35363.9508228687,1.47583935002645,3.824,33296.9845439195,1.94433230786366,3.653,30832.0628072516,0.971685739912168,3.65,30171.7906545222,0.70633177245575,3.546,33164.33272467993,1.4639524659340928,3.7089999999999996,6.207668073434158,0
KOR,2019,33826.9443301597,0.383000303608136,3.746,35363.9508228687,1.47583935002645,3.824,33296.9845439195,1.94433230786366,3.653,30832.0628072516,0.971685739912168,3.65,34162.6265656493,1.2677239871660821,3.7409999999999997,-4.346252205834045,1
KOR,2020,33645.7719545073,0.537288023411737,3.931,33826.9443301597,0.383000303608136,3.746,35363.9508228687,1.47583935002645,3.824,33296.9845439195,1.94433230786366,3.653,34278.88903584523,0.7987092256821077,3.8336666666666663,-0.5355859928822149,1
KOR,2021,37518.4635305697,2.49833333333339,3.639,33645.7719545073,0.537288023411737,3.931,33826.9443301597,0.383000303608136,3.746,35363.9508228687,1.47583935002645,3.824,34997.059938412225,1.1395405534510876,3.772,11.510187910976445,0
KOR,2022,34822.4048404971,5.08951365062842,2.857,37518.4635305697,2.49833333333339,3.639,33645.7719545073,0.537288023411737,3.931,33826.9443301597,0.383000303608136,3.746,35328.8801085247,2.7083783357911826,3.4756666666666667,-7.185951759127541,1
KOR,2023,35674.095995632,3.5974562502901,2.675,34822.4048404971,5.08951365062842,2.857,37518.4635305697,2.49833333333339,3.639,33645.7719545073,0.537288023411737,3.931,36004.988122232935,3.7284344114173034,3.057,2.4458137197475027,0
KOR,2024,36238.639908315,2.32174328643542,2.784,35674.095995632,3.5974562502901,2.675,34822.4048404971,5.08951365062842,2.857,37518.4635305697,2.49833333333339,3.639,35578.38024814803,3.6695710624513134,2.772,1.5825037661840957,0
MEX,2010,9728.80078377082,4.15672722680174,5.303,,,,,,,,,,9728.80078377082,4.15672722680174,5.303,,0
MEX,2011,10664.4944032313,3.40737824605742,5.175,9728.80078377082,4.15672722680174,5.303,,,,,,,10196.64759350106,3.7820527364295797,5.239,9.617769345440452,0
MEX,2012,10744.1335242686,4.11150981070289,4.892,10664.4944032313,3.40737824605742,5.175,9728.80078377082,4.15672722680174,5.303,,,,10379.142903756905,3.8918717611873497,5.123333333333334,0.7467688389725335,0
MEX,2013,11216.8008505428,3.80639069747204,4.921,10744.1335242686,4.11150981070289,4.892,10664.4944032313,3.40737824605742,5.175,9728.80078377082,4.15672722680174,5.303,10875.142926014232,3.7750929180774495,4.9959999999999996,4.39930614420001,0
MEX,2014,11391.3773497683,4.01861608078679,4.819,11216.8008505428,3.80639069747204,4.921,10744.1335242686,4.11150981070289,4.892,10664.4944032313,3.40737824605742,5.175,11117.437241526566,3.97883886298724,4.8773333333333335,1.5563840488177272,0
MEX,2015,10021.2386118827,2.72064064964023,4.311,11391.3773497683,4.01861608078679,4.819,11216.8008505428,3.80639069747204,4.921,10744.1335242686,4.11150981070289,4.892,10876.472270731267,3.5152158092996864,4.683666666666667,-12.027858403913449,1
MEX,2016,9097.92397674769,2.8217078474766,3.853,10021.2386118827,2.72064064964023,4.311,11391.3773497683,4.01861608078679,4.819,11216.8008505428,3.80639069747204,4.921,10170.17997946623,3.1869881926345403,4.3276666666666666,-9.213577990650656,1
MEX,2017,9649.27816772402,6.04145724018986,3.419,9097.92397674769,2.8217078474766,3.853,10021.2386118827,2.72064064964023,4.311,11391.3773497683,4.01861608078679,4.819,9589.480252118135,3.86126857910223,3.8610000000000007,6.060219808227352,0
MEX,2018,10084.7937562021,4.89935015356551,3.275,9649.27816772402,6.04145724018986,3.419,9097.92397674769,2.8217078474766,3.853,10021.2386118827,2.72064064964023,4.311,9610.665300224604,4.587505080410657,3.5156666666666667,4.51345251849864,0
MEX,2019,10369.5553585271,3.63596142127046,3.477,10084.7937562021,4.89935015356551,3.275,9649.27816772402,6.04145724018986,3.419,9097.92397674769,2.8217078474766,3.853,10034.542427484406,4.858922938341943,3.390333333333333,2.8236730389243014,0
MEX,2020,8841.27075039868,3.39683415570006,4.44,10369.5553585271,3.63596142127046,3.477,10084.7937562021,4.89935015356551,3.275,9649.27816772402,6.04145724018986,3.419,9765.206621709294,3.9773819101786767,3.7306666666666666,-14.73818843034268,1
MEX,2021,10314.0506722115,5.68920847683753,4.019,8841.27075039868,3.39683415570006,4.44,10369.5553585271,3.63596142127046,3.477,10084.7937562021,4.89935015356551,3.275,9841.625593712428,4.2406680179360166,3.978666666666667,16.658011765406087,0
MEX,2022,11405.7940473759,7.8962761916855,3.256,10314.0506722115,5.68920847683753,4.019,8841.27075039868,3.39683415570006,4.44,10369.5553585271,3.63596142127046,3.477,10187.03848999536,5.660772941407696,3.905,10.585010776666204,0
MEX,2023,13860.9597809326,5.52796087314389,2.765,11405.7940473759,7.8962761916855,3.256,10314.0506722115,5.68920847683753,4.019,8841.27075039868,3.39683415570006,4.44,11860.268166840002,6.371148513888973,3.3466666666666662,21.525601140602333,0
MEX,2024,14185.7812248529,4.72225588452932,2.678,13860.9597809326,5.52796087314389,2.765,11405.7940473759,7.8962761916855,3.256,10314.0506722115,5.68920847683753,4.019,13150.845017720467,6.0488309831195695,2.8996666666666666,2.343426783238556,0
RUS,2010,10674.990234375,6.84939230255025,7.407,,,,,,,,,,10674.990234375,6.84939230255025,7.407,,0
RUS,2011,14305.33203125,8.4404648593257,6.571,10674.990234375,6.84939230255025,7.407,,,,,,,12490.1611328125,7.644928580937975,6.989,34.007916795884064,0
RUS,2012,15401.8515625,5.07474300799149,5.484,14305.33203125,8.4404648593257,6.571,10674.990234375,6.84939230255025,7.407,,,,13460.724609375,6.78820005662248,6.487333333333333,7.6651106654124,0
RUS,2013,15941.4482421875,6.75466833903486,5.513,15401.8515625,5.07474300799149,5.484,14305.33203125,8.4404648593257,6.571,10674.990234375,6.84939230255025,7.407,15216.210611979166,6.756625402117351,5.855999999999999,3.5034533185691386,0
RUS,2014,14055.47265625,7.82016970013845,5.212,15941.4482421875,6.75466833903486,5.513,15401.8515625,5.07474300799149,5.484,14305.33203125,8.4404648593257,6.571,15132.924153645834,6.549860349054934,5.403,-11.830641465475189,1
RUS,2015,9277.7138671875,15.5343959935701,5.615,14055.47265625,7.82016970013845,5.212,15941.4482421875,6.75466833903486,5.513,15401.8515625,5.07474300799149,5.484,13091.544921875,10.036411344247805,5.446666666666666,-33.99216024896886,1
RUS,2016,8663.158203125,7.04243725413707,5.591,9277.7138671875,15.5343959935701,5.615,14055.47265625,7.82016970013845,5.212,15941.4482421875,6.75466833903486,5.513,10665.4482421875,10.13233431594854,5.472666666666666,-6.623998895201966,1
